Date,Service,Direction,Langue,Record_count
16-04-2019,Call,direct,fr,179
16-04-2019,Chat,direct,fr,116
17-04-2019,Call,direct,fr,123
17-04-2019,Chat,direct,fr,127
22-04-2019,SMS,direct,fr,169
23-04-2019,Call,direct,fr,216
23-04-2019,Chat,direct,fr,112
24-04-2019,Call,direct,fr,141
24-04-2019,Chat,direct,fr,116
25-04-2019,Call,direct,fr,143
25-04-2019,Chat,direct,fr,87
26-04-2019,Chat,direct,fr,2
29-04-2019,Call,direct,fr,229
29-04-2019,Chat,direct,fr,117
29-04-2019,SMS,direct,fr,284
30-04-2019,Call,direct,fr,223
30-04-2019,Chat,direct,fr,123
01-05-2019,Call,direct,fr,217
01-05-2019,Chat,direct,fr,152
02-05-2019,Call,direct,fr,112
02-05-2019,Chat,direct,fr,6
06-05-2019,Call,direct,fr,207
06-05-2019,SMS,direct,fr,209
07-05-2019,Call,direct,fr,160
08-05-2019,Call,direct,fr,181
09-05-2019,Call,direct,fr,128
13-05-2019,Call,direct,fr,245
13-05-2019,SMS,direct,fr,245
14-05-2019,Call,direct,fr,260
15-05-2019,Call,direct,fr,176
16-05-2019,Call,direct,fr,110
20-05-2019,SMS,direct,fr,170
21-05-2019,Call,direct,fr,229
22-05-2019,Call,direct,fr,190
23-05-2019,Call,direct,fr,178
27-05-2019,Call,direct,fr,203
27-05-2019,SMS,direct,fr,183
28-05-2019,Call,direct,fr,176
29-05-2019,Call,direct,fr,172
30-05-2019,Call,direct,fr,151
03-06-2019,Call,direct,fr,229
03-06-2019,SMS,direct,fr,218
04-06-2019,Call,direct,fr,154
05-06-2019,Call,direct,fr,159
06-06-2019,Call,direct,fr,134
10-06-2019,Call,direct,fr,208
10-06-2019,SMS,direct,fr,403
11-06-2019,Call,direct,fr,265
12-06-2019,Call,direct,fr,167
13-06-2019,Call,direct,fr,213
17-06-2019,Call,direct,fr,164
17-06-2019,SMS,direct,fr,161
18-06-2019,Call,direct,fr,151
19-06-2019,Call,direct,fr,69
20-06-2019,Call,direct,fr,11
15-07-2019,Call,direct,fr,32
15-07-2019,Chat,direct,fr,15
15-07-2019,SMS,direct,fr,67
16-07-2019,Call,direct,fr,53
16-07-2019,Chat,direct,fr,10
17-07-2019,Call,direct,fr,47
17-07-2019,Chat,direct,fr,5
18-07-2019,Call,direct,fr,27
18-07-2019,Chat,direct,fr,6
22-07-2019,Call,direct,fr,52
22-07-2019,Chat,direct,fr,5
22-07-2019,SMS,direct,fr,66
23-07-2019,Call,direct,fr,58
23-07-2019,Chat,direct,fr,5
24-07-2019,Call,direct,fr,36
24-07-2019,Chat,direct,fr,2
25-07-2019,Call,direct,fr,47
25-07-2019,Chat,direct,fr,8
29-07-2019,Call,direct,fr,83
29-07-2019,Chat,direct,fr,9
29-07-2019,SMS,direct,fr,34
30-07-2019,Call,direct,fr,46
30-07-2019,Chat,direct,fr,5
31-07-2019,Call,direct,fr,30
31-07-2019,Chat,direct,fr,3
01-08-2019,Chat,direct,fr,2
02-09-2019,SMS,direct,fr,224
03-09-2019,Chat,direct,fr,56
04-09-2019,Chat,direct,fr,63
04-09-2019,Call,direct,fr,202
05-09-2019,Chat,direct,fr,71
05-09-2019,Call,direct,fr,196
06-09-2019,Chat,direct,fr,4
09-09-2019,Chat,direct,fr,58
09-09-2019,SMS,direct,fr,236
09-09-2019,Call,direct,fr,244
10-09-2019,Chat,direct,fr,67
10-09-2019,Call,direct,fr,240
11-09-2019,Chat,direct,fr,83
11-09-2019,Call,direct,fr,253
12-09-2019,Chat,direct,fr,79
12-09-2019,Call,direct,fr,195
13-09-2019,Chat,direct,fr,5
16-09-2019,SMS,direct,fr,256
16-09-2019,Chat,direct,fr,57
16-09-2019,Call,direct,fr,267
17-09-2019,Chat,direct,fr,95
17-09-2019,Call,direct,fr,266
18-09-2019,Chat,direct,fr,66
18-09-2019,Call,direct,fr,261
19-09-2019,Chat,direct,fr,48
19-09-2019,Call,direct,fr,141
23-09-2019,Chat,direct,fr,94
23-09-2019,Call,direct,fr,278
23-09-2019,SMS,direct,fr,224
24-09-2019,Chat,direct,fr,135
24-09-2019,Call,direct,fr,249
25-09-2019,Chat,direct,fr,71
25-09-2019,Call,direct,fr,237
26-09-2019,Chat,direct,fr,82
26-09-2019,Call,direct,fr,143
27-09-2019,Chat,direct,fr,5
30-09-2019,Chat,direct,fr,75
30-09-2019,Call,direct,fr,265
30-09-2019,SMS,direct,fr,226
01-10-2019,Chat,direct,fr,83
01-10-2019,Call,direct,fr,281
